"Agricultura, ganaderÍa, 
caza y silvicultura",Pesca,"Explotación de 
minas y canteras",Industrias manufactureras,"Suministro de electricidad, 
gas y agua",Construcción,Comercio y reparaciones,Hoteles y restaurantes,"Transporte, almacenamiento
 y comunicación",Intermediación financiera,"Actividades inmobiliarias, 
empresariales y de alquiler",Enseñanza,"Servicios sociales 
y de salud","Servicios comunitarios, 
sociales y personales",Sin especificar,Total,fecha
331.767,13.11,87.914,1246.456,68.162,440.685,1130.094,261.819,550.754,158.587,836.869,381.811,295.385,373.672,0.888,6177.972999999999,2015-02-01
328.915,13.223,88.063,1246.412,68.182,445.922,1132.054,260.373,551.136,158.687,838.106,384.815,296.362,374.603,0.891,6187.744,2015-03-01
331.253,13.273,88.012,1251.778,68.404,452.797,1137.208,262.889,554.057,158.748,842.601,388.364,297.455,376.616,0.863,6224.317999999999,2015-04-01
326.806,13.381,88.012,1254.786,68.97,457.218,1139.043,262.417,555.206,158.972,840.037,388.252,298.401,376.249,0.832,6228.582,2015-05-01
323.743,13.146,87.751,1255.494,69.072,463.639,1142.286,263.389,556.376,159.729,846.495,388.542,299.396,377.704,0.828,6247.590000000001,2015-06-01
323.844,12.781,87.696,1256.403,69.599,463.278,1143.996,264.054,557.726,160.114,845.051,389.431,300.907,377.467,0.831,6253.178,2015-07-01
323.029,12.935,87.711,1256.973,69.735,460.096,1145.326,264.964,559.203,160.244,856.473,390.505,301.74,377.146,0.803,6266.882999999999,2015-08-01
321.961,13.019,87.492,1258.303,69.847,458.704,1146.784,265.457,560.884,160.696,846.352,390.907,302.423,376.856,0.803,6260.487999999999,2015-09-01
316.645,13.027,87.078,1257.405,69.969,454.487,1148.172,265.474,561.961,161.11,856.309,391.493,303.193,377.024,0.834,6264.1810000000005,2015-10-01
315.888,13.063,86.357,1255.372,70.11,446.64,1149.137,264.472,561.247,161.585,855.916,391.977,304.155,376.984,0.805,6253.7080000000005,2015-11-01
316.541,12.844,85.747,1252.13,70.209,432.503,1149.25,264.757,561.308,162.041,840.965,392.111,304.934,376.491,0.783,6222.614000000001,2015-12-01
315.451,12.803,85.105,1246.572,70.357,421.62,1150.609,264.458,561.582,162.773,839.974,392.248,306.034,378.051,0.792,6208.429,2016-01-01
314.05,12.951,84.828,1243.948,70.452,415.241,1153.22,264.308,561.507,162.783,840.614,395.45,307.082,379.554,0.819,6206.807000000001,2016-02-01
316.509,12.873,84.252,1238.931,70.387,409.275,1154.689,264.618,560.999,163.129,838.528,397.078,307.762,379.128,0.786,6198.9439999999995,2016-03-01
314.532,12.786,82.853,1236.542,70.356,406.381,1154.925,264.801,560.407,163.477,836.663,396.566,308.652,378.852,0.767,6188.5599999999995,2016-04-01
316.234,12.676,82.575,1229.925,70.413,405.563,1154.044,265.007,559.356,163.568,833.398,396.854,309.427,379.818,0.726,6179.584000000001,2016-05-01
318.369,12.622,82.366,1226.939,70.598,404.691,1153.793,264.501,558.585,163.291,829.371,396.916,309.253,379.534,0.725,6171.554,2016-06-01
318.175,12.799,82.029,1223.414,70.778,404.459,1154.586,264.46,558.328,163.27,829.279,396.924,310.249,379.689,0.798,6169.236999999999,2016-07-01
320.393,12.561,81.433,1220.007,70.997,406.75,1155.819,264.345,558.19,163.34,826.981,397.488,310.945,379.668,0.794,6169.710999999999,2016-08-01
321.232,12.503,80.99,1216.729,71.03,408.311,1157.643,265.372,558.066,163.207,826.877,397.765,311.781,380.648,0.786,6172.940000000001,2016-09-01
328.395,12.416,80.923,1213.462,71.115,409.681,1159.705,265.647,557.826,163.283,825.815,397.87,312.753,380.936,0.784,6180.610999999999,2016-10-01
