Alimentos y tabaco,"Textiles, confecciones, cuero y calzado",Madera y papel,Química y petroquímica,Metalmecánica,Automotores y neumáticos,Otras manufacturas,fecha
373.155,151.591,83.74,175.351,232.965,95.306,134.366,2015-02-01
372.745,151.919,83.833,175.638,232.825,95.555,133.917,2015-03-01
373.922,152.965,84.22,175.769,233.91,95.458,135.557,2015-04-01
374.68,153.621,84.356,176.284,234.355,95.37,136.134,2015-05-01
374.671,154.058,84.459,176.241,234.39,95.4,136.207,2015-06-01
374.31,154.442,84.402,176.45,235.041,95.354,136.418,2015-07-01
375.071,154.835,84.451,176.416,234.926,94.887,136.395,2015-08-01
375.779,155.282,84.493,176.269,235.465,94.778,136.255,2015-09-01
375.241,155.353,84.534,175.518,235.623,94.462,136.676,2015-10-01
374.912,155.503,84.537,175.586,234.45,94.174,136.164,2015-11-01
374.057,155.464,84.426,175.103,233.393,93.606,136.093,2015-12-01
373.303,155.288,84.998,174.219,231.615,93.382,133.767,2016-01-01
372.965,155.05,84.872,174.442,229.929,93.009,133.669,2016-02-01
371.651,154.589,84.554,173.766,228.611,92.973,132.796,2016-03-01
372.205,154.211,84.462,173.782,227.725,92.547,131.631,2016-04-01
371.42,153.472,83.987,173.085,225.773,92.073,130.123,2016-05-01
371.843,152.718,83.847,172.748,224.74,91.773,129.24,2016-06-01
372.332,151.925,83.585,172.534,223.421,91.167,128.452,2016-07-01
371.815,151.108,83.352,172.308,222.393,91.012,128.025,2016-08-01
371.628,149.893,82.998,171.869,221.829,90.653,127.856,2016-09-01
371.262,148.954,82.883,171.745,221.337,90.119,127.166,2016-10-01
371.475,147.898,82.592,169.2,220.947,89.827,126.588,2016-11-01
372.081,146.95,82.272,169.201,220.552,89.565,125.879,2016-12-01
372.276,145.677,82.146,169.171,220.813,89.573,125.126,2017-01-01
371.141,144.506,81.945,168.789,220.924,89.505,124.686,2017-02-01
372.025,143.363,81.758,168.61,221.187,89.703,124.518,2017-03-01
372.044,142.125,81.497,168.347,221.432,89.355,124.266,2017-04-01
372.4,140.825,81.44,166.726,222.115,89.343,123.885,2017-05-01
